year,sp.code,catch.mt
1916,CNRY,36.94
1917,CNRY,58.85
1918,CNRY,61.3
1919,CNRY,38.59
1920,CNRY,40.76
1921,CNRY,35.08
1922,CNRY,32.2
1923,CNRY,38.63
1924,CNRY,40.35
1925,CNRY,46.78
1926,CNRY,62.5
1927,CNRY,56.06
1928,CNRY,62.31
1929,CNRY,73.95
1930,CNRY,79.16
1931,CNRY,87.77
1932,CNRY,63.67
1933,CNRY,60.04
1934,CNRY,60.71
1935,CNRY,71.92
1936,CNRY,65.88
1937,CNRY,73.74
1938,CNRY,74.15
1939,CNRY,78.71
1940,CNRY,133.27
1941,CNRY,197.87
1942,CNRY,303.8
1943,CNRY,1031.96
1944,CNRY,1523.42
1945,CNRY,3253.2
1946,CNRY,2046.38
1947,CNRY,1135.29
1948,CNRY,1080.75
1949,CNRY,1142.93
1950,CNRY,1228.25
1951,CNRY,1044.21
1952,CNRY,963.36
1953,CNRY,661.24
1954,CNRY,792.47
1955,CNRY,807.73
1956,CNRY,633.86
1957,CNRY,1115.18
1958,CNRY,1039.36
1959,CNRY,1068.64
1960,CNRY,1188.12
1961,CNRY,1124.57
1962,CNRY,1270.52
1963,CNRY,975.59
1964,CNRY,810.02
1965,CNRY,1110.95
1966,CNRY,2988.6
1967,CNRY,1428.29
1968,CNRY,1619.03
1969,CNRY,1535.1
1970,CNRY,1486.51
1971,CNRY,1602.02
1972,CNRY,1676.29
1973,CNRY,2316.66
1974,CNRY,1841.55
1975,CNRY,1835.31
1976,CNRY,1476.56
1977,CNRY,2167.02
1978,CNRY,3073.51
1979,CNRY,3483.94
1980,CNRY,3995.86
1981,CNRY,3532.37
1982,CNRY,5543.56
1983,CNRY,4918.49
1984,CNRY,2405.23
1985,CNRY,2729.72
1986,CNRY,2302.99
1987,CNRY,3180.63
1988,CNRY,3073.83
1989,CNRY,3335.3
1990,CNRY,2803.61
1991,CNRY,3207.12
1992,CNRY,2866.54
1993,CNRY,2235.36
1994,CNRY,1217.92
1995,CNRY,1196.44
1996,CNRY,1558.83
1997,CNRY,1480.11
1998,CNRY,1494.97
1999,CNRY,898.71
2000,CNRY,199.84
2001,CNRY,133.04
2002,CNRY,98.09
2003,CNRY,59.93
2004,CNRY,50.28
